dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
ett1/H/medium,TimeCopilot,131.36659254489592,131.36659254489592,6.723023053242026,1.2854796996107485,3449389115141.716,0.4519796988339821,9.722145582667212,11.461526623661262,0.5489799558203433,0.3220168673803568,0.2512439885196175,Energy,7
ett1/H/long,TimeCopilot,145.42598346736074,145.42598346736074,7.067940720999071,1.3787753932428612,4333740885596.531,0.4873355925106218,10.491053386405422,12.059269607540944,0.5774923029404946,0.3384683730318362,0.266623667537051,Energy,7
ett2/15T/medium,TimeCopilot,11.654150753345416,11.654150753345416,2.164660533491581,0.9173180469176152,0.1407238647415174,0.166368457672974,6.956952946467317,3.413817621570522,0.1819285205115292,0.1153586781494928,0.0912573450345453,Energy,7
ett2/15T/long,TimeCopilot,11.83917756320148,11.83917756320148,2.2042152614773265,0.9346659806338128,0.1440029299374223,0.1701361833127588,7.591942824199662,3.4408105968218416,0.1833670250235007,0.1174666212031033,0.0941863260552289,Energy,7
ett2/H/medium,TimeCopilot,244.61828849213703,244.61828849213703,9.713107990908126,1.0717401895462983,0.1805422241171783,0.1809646816155467,7.611095036531764,15.640277762627395,0.2107628007376633,0.1308903764434982,0.1051952148012162,Energy,7
ett2/H/long,TimeCopilot,267.647744319421,267.647744319421,10.34468404672764,1.1446436946420455,0.1949381236785513,0.1993334897572211,7.941608680412425,16.359943285947573,0.2240368317587744,0.1416624861630846,0.1121997537911523,Energy,7
jena_weather/10T/medium,TimeCopilot,1432.124056361338,1432.124056361338,9.415487818263491,0.6076936640898429,0.6648073173510344,0.657911977219078,5.769151149084737,37.84341496695743,0.2322443907066463,0.0577826877798355,0.0476556763226186,Nature,21
jena_weather/10T/long,TimeCopilot,1461.9712240412546,1461.9712240412546,9.656132026235216,0.6271024171144943,0.6880532193880432,0.6554077436138248,6.178353600980851,38.23573229377534,0.2339710022427383,0.0590875276196621,0.0493391718038347,Nature,21
jena_weather/H/medium,TimeCopilot,1374.7494097731546,1374.7494097731546,10.41510045264059,0.8262192834746671,2.556791650149903,0.6689623999322188,6.409873839105692,37.0776133235832,0.2268844917564687,0.0637318468200035,0.0529729670141724,Nature,21
jena_weather/H/long,TimeCopilot,1294.7696650536095,1294.7696650536095,11.430013058836357,0.9956425809445488,2.514330090168181,0.6534341790118225,8.026939150897899,35.98290795716224,0.2166569722895802,0.0688213422190891,0.0564411235445146,Nature,21
