dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
jena_weather/10T/long,Chronos-2,1327.8632275132275,1327.8632275132275,9.587346023478837,0.6918561732061718,0.8754758130744825,0.6431797572544643,6.041743119123887,36.439857676906854,0.2229817375208641,0.058666614273958986,0.051384381593606226,Nature,21
jena_weather/10T/medium,Chronos-2,1531.8712842712844,1531.8712842712844,9.632253336940837,0.6057200244714774,0.7589422149086217,0.6483931812545094,5.420471604944751,39.139127280399144,0.24019612843487564,0.05911296751871536,0.04960599787793978,Nature,21
jena_weather/10T/short,Chronos-2,924.9469246031746,924.9469246031746,5.812009781125992,0.26495034895161235,0.36129278455129765,0.5461646185980903,2.2516787743464732,30.41294008482532,0.18890248966526502,0.03609986783755168,0.030310675322483785,Nature,21
jena_weather/D/short,Chronos-2,384.9302579365079,384.9302579365079,9.841698443700396,1.0822749224001693,0.6937773263999049,0.45297648111979166,6.705876677746834,19.619639597518297,0.11814229719109687,0.05926311014132397,0.04674940096158798,Nature,21
jena_weather/H/long,Chronos-2,1441.8238095238096,1441.8238095238096,12.078509424603174,1.0084402648660813,2.5280535480459307,0.6797292235036375,8.152702147613358,37.971355118349535,0.22862965001289043,0.07272601606704138,0.058572540522816546,Nature,21
jena_weather/H/medium,Chronos-2,1267.605257936508,1267.605257936508,10.338327752976191,0.7856590893334519,2.5514887758105416,0.6837812635633681,5.938333913704131,35.60344446730552,0.2178637745444152,0.06326205625438838,0.05033272427534201,Nature,21
jena_weather/H/short,Chronos-2,1080.4010025062657,1080.4010025062657,8.565387263732248,0.5226186910177899,1.7302937784127035,0.6081429770715853,4.334729695255024,32.86945394292801,0.20148765276208633,0.05250527671570877,0.041877829764344655,Nature,21
kdd_cup_2018/D/short,Chronos-2,2817.109648247889,2817.109648247889,20.892149162178335,1.1977513994294262,0.5028700768626571,0.4639661489502294,8.735722325835347,53.0764509763783,1.188968823527226,0.4680063107717131,0.3665565381873796,Nature,1
kdd_cup_2018/H/long,Chronos-2,4165.433668656734,4165.433668656734,24.78768872926688,1.046908916534262,1.0979405344428492,0.6230810785178198,7.358994805141847,64.54017096860477,1.5143732109381864,0.5816193420208982,0.44533304415352265,Nature,1
kdd_cup_2018/H/medium,Chronos-2,4983.18968989833,4983.18968989833,25.004080862510037,1.0401058282304305,1.1041164935683345,0.5461257448671087,8.564919389661053,70.59171119825847,1.4776123629245475,0.5233806969524404,0.41721991436439515,Nature,1
kdd_cup_2018/H/short,Chronos-2,4297.654353139412,4297.654353139412,22.612387310053403,0.9466823637236516,0.9366268895143116,0.4948653785455921,7.212414950429725,65.55649741360052,1.3722162231533168,0.47331822069926655,0.37364788063282156,Nature,1
loop_seattle/5T/long,Chronos-2,98.44317165462677,98.44317165462677,5.780385778580438,0.9113433908564642,0.1925361980958319,0.13005866653587606,6.227033630065236,9.921853236902205,0.17542039436024412,0.10219840271992542,0.0795193568123974,Transport,1
loop_seattle/5T/medium,Chronos-2,84.09893567788957,84.09893567788957,5.332555741663442,0.845525262307259,0.17424029087503629,0.12172835374641222,5.885399477836339,9.170547185304134,0.1631628740887507,0.0948771216664779,0.07417131365244178,Transport,1
loop_seattle/5T/short,Chronos-2,40.922246375935245,40.922246375935245,3.4197557321396896,0.5407390822395204,0.09625281244362593,0.07281893089459776,4.034108370509722,6.397049818153306,0.10969528464665351,0.05864126263243339,0.046210203008454326,Transport,1
